oq,q,stcd,stnm,tm,wptn,z,rvnm
0,3260,60703800,北碚,1786197600000,4,177.31,嘉陵江
0,3320,60703800,北碚,1786201200000,5,177.37,嘉陵江
0,3370,60703800,北碚,1786204800000,5,177.43,嘉陵江
0,3390,60703800,北碚,1786208400000,5,177.45,嘉陵江
0,3540,60703800,北碚,1786212000000,5,177.6,嘉陵江
0,3510,60703800,北碚,1786215600000,4,177.57,嘉陵江
0,3500,60703800,北碚,1786219200000,4,177.56,嘉陵江
0,3490,60703800,北碚,1786222800000,4,177.55,嘉陵江
0,3490,60703800,北碚,1786226400000,6,177.55,嘉陵江
0,3500,60703800,北碚,1786230000000,5,177.56,嘉陵江
0,3380,60703800,北碚,1786237200000,4,177.44,嘉陵江
0,3290,60703800,北碚,1786244400000,4,177.34,嘉陵江
0,3250,60703800,北碚,1786248000000,4,177.3,嘉陵江
0,3230,60703800,北碚,1786251600000,4,177.28,嘉陵江
0,3210,60703800,北碚,1786255200000,4,177.26,嘉陵江
0,3110,60703800,北碚,1786258800000,4,177.15,嘉陵江
0,2990,60703800,北碚,1786262400000,4,177.02,嘉陵江
0,2930,60703800,北碚,1786266000000,4,176.95,嘉陵江
0,2890,60703800,北碚,1786269600000,4,176.91,嘉陵江
0,2840,60703800,北碚,1786276800000,4,176.84,嘉陵江
0,2830,60703800,北碚,1786280400000,4,176.83,嘉陵江
0,2990,60703800,北碚,1786284000000,5,177.02,嘉陵江
0,3110,60703800,北碚,1786287600000,5,177.15,嘉陵江
0,3180,60703800,北碚,1786291200000,5,177.23,嘉陵江
0,3180,60703800,北碚,1786294800000,6,177.23,嘉陵江
0,3110,60703800,北碚,1786298400000,4,177.15,嘉陵江
