q,rvnm,stcd,stnm,tm,wptn,z
6070,鄱阳湖,62601600,湖口,1788206400000,5,13.850
6210,鄱阳湖,62601600,湖口,1788220800000,6,13.890
5940,鄱阳湖,62601600,湖口,1788238800000,4,13.890
5710,鄱阳湖,62601600,湖口,1788256800000,4,13.900
6110,鄱阳湖,62601600,湖口,1788274800000,5,13.930
6830,鄱阳湖,62601600,湖口,1788285600000,5,14.000
7120,鄱阳湖,62601600,湖口,1788296400000,5,14.050
7090,鄱阳湖,62601600,湖口,1788303600000,6,14.060
7110,鄱阳湖,62601600,湖口,1788310800000,6,14.080
7140,鄱阳湖,62601600,湖口,1788328800000,5,14.090
7490,鄱阳湖,62601600,湖口,1788346800000,5,14.160
7700,鄱阳湖,62601600,湖口,1788357600000,5,14.180
7860,鄱阳湖,62601600,湖口,1788372000000,5,14.230
7920,鄱阳湖,62601600,湖口,1788386400000,6,14.260
7900,鄱阳湖,62601600,湖口,1788397200000,6,14.290
8370,鄱阳湖,62601600,湖口,1788415200000,5,14.360
8370,鄱阳湖,62601600,湖口,1788433200000,6,14.420
8040,鄱阳湖,62601600,湖口,1788447600000,6,14.420
8470,鄱阳湖,62601600,湖口,1788458400000,5,14.460
8030,鄱阳湖,62601600,湖口,1788469200000,6,14.450
8170,鄱阳湖,62601600,湖口,1788476400000,6,14.460
8270,鄱阳湖,62601600,湖口,1788483600000,5,14.480
8480,鄱阳湖,62601600,湖口,1788501600000,6,14.500
8770,鄱阳湖,62601600,湖口,1788519600000,5,14.530
